,Number,Capacity (GW),Used Capacity (GW),Electricity Generation (TWh),Emissions (GtCO2e),% of plants,% of capacity,% of used capacity,% of generation,% of emissions,% of energy related CO2,% of total CO2
Coal,6823,2281.3,1138.8,9976.0,10.1,8.6,24.7,29.5,29.5,71.2,27.0,24.2
Gas,8043,1931.8,884.8,7751.0,3.4,10.1,20.9,22.9,22.9,24.1,9.1,8.2
Oil,1159,152.8,67.7,593.5,0.6,1.5,1.7,1.8,1.8,4.5,1.7,1.5
Other,78,8.8,4.1,35.5,0.0,0.1,0.1,0.1,0.1,0.2,0.1,0.1
Solar,38589,915.8,126.4,1107.1,0.0,48.4,9.9,3.3,3.3,0.0,0.0,0.0
Wind,19048,1108.1,241.1,2111.9,0.0,23.9,12.0,6.3,6.3,0.0,0.0,0.0
Hydropower,3430,2195.3,898.7,7872.2,0.0,4.3,23.7,23.3,23.3,0.0,0.0,0.0
Geothermal ,384,15.8,12.0,104.8,0.0,0.5,0.2,0.3,0.3,0.0,0.0,0.0
Bioenergy,1679,86.1,42.4,371.7,0.0,2.1,0.9,1.1,1.1,0.0,0.0,0.0
Nuclear,564,550.4,441.3,3865.9,0.0,0.7,6.0,11.4,11.4,0.0,0.0,0.0
Fossil fuels (+other),16103,4374.7,2095.4,18356.0,14.2,20.2,47.3,54.3,54.3,100.0,37.9,34.0
Renewables (+nuclear),62015,4785.4,1719.4,15061.9,0.0,77.7,51.8,44.6,44.6,0.0,0.0,0.0
Total,79797,9246.2,3857.3,33789.6,14.2,100.0,100.0,100.0,100.0,100.0,37.9,34.0
