Category,Number,%,Capacity (GW),% of capacity,Used Capacity (GW),% of used capacity,Electricity Generation (TWh),% of generation,Emissions (GtCO2e),% of emissions,% of energy related CO2 (37.4),% of total CO2 (41.6)
Coal,6823,8.6,2281.3,24.7,1138.8,29.5,9976.0,29.5,10.08,71.2,27.0,24.2
Gas,8043,10.1,1931.8,20.9,884.8,22.9,7751.0,22.9,3.41,24.1,9.1,8.2
Oil,1159,1.5,152.8,1.7,67.7,1.8,593.5,1.8,0.64,4.5,1.7,1.5
Other,78,0.1,8.8,0.1,4.1,0.1,35.5,0.1,0.03,0.2,0.1,0.1
Solar,38589,48.4,915.8,9.9,126.4,3.3,1107.1,3.3,0.0,0.0,0.0,0.0
Wind,19048,23.9,1108.1,12.0,241.1,6.3,2111.9,6.3,0.0,0.0,0.0,0.0
Hydropower,3430,4.3,2195.3,23.7,898.7,23.3,7872.2,23.3,0.0,0.0,0.0,0.0
Geothermal ,384,0.5,15.8,0.2,12.0,0.3,104.8,0.3,0.0,0.0,0.0,0.0
Bioenergy,1679,2.1,86.1,0.9,42.4,1.1,371.7,1.1,0.0,0.0,0.0,0.0
Nuclear,564,0.7,550.4,6.0,441.3,11.4,3865.9,11.4,0.0,0.0,0.0,0.0
Fossil fuels (+other),16103,20.2,4374.7,47.3,2095.4,54.3,18356.0,54.3,14.16,100.0,37.9,34.0
Renewables (+nuclear),62015,77.7,4785.4,51.8,1719.4,44.6,15061.9,44.6,0.0,0.0,0.0,0.0
Total,79797,100.0,9246.2,100.0,3857.3,100.0,33789.6,100.0,14.16,100.0,37.9,34.0
